jerseyNumber,person.id,person.fullName,person.link,position.code,position.name,position.type,position.abbreviation,id_split,fullName,link,firstName,lastName,primaryNumber,birthDate,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,rookie,shootsCatches,rosterStatus,primaryPosition,currentAge,alternateCaptain,captain,currentTeam,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,stat.id,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,id,home.timeOnIce,home.assists,home.goals,home.pim,home.shots,home.games,home.hits,home.powerPlayGoals,home.powerPlayPoints,home.powerPlayTimeOnIce,home.evenTimeOnIce,home.penaltyMinutes,home.shotPct,home.gameWinningGoals,home.overTimeGoals,home.shortHandedGoals,home.shortHandedPoints,home.shortHandedTimeOnIce,home.blocked,home.plusMinus,home.points,home.shifts,home.timeOnIcePerGame,home.evenTimeOnIcePerGame,home.shortHandedTimeOnIcePerGame,home.powerPlayTimeOnIcePerGame,away.timeOnIce,away.assists,away.goals,away.pim,away.shots,away.games,away.hits,away.powerPlayGoals,away.powerPlayPoints,away.powerPlayTimeOnIce,away.evenTimeOnIce,away.penaltyMinutes,away.shotPct,away.gameWinningGoals,away.overTimeGoals,away.shortHandedGoals,away.shortHandedPoints,away.shortHandedTimeOnIce,away.blocked,away.plusMinus,away.points,away.shifts,away.timeOnIcePerGame,away.evenTimeOnIcePerGame,away.shortHandedTimeOnIcePerGame,away.powerPlayTimeOnIcePerGame,home.ot,home.shutouts,home.wins,home.losses,home.saves,home.powerPlaySaves,home.shortHandedSaves,home.evenSaves,home.shortHandedShots,home.evenShots,home.powerPlayShots,home.savePercentage,home.goalAgainstAverage,home.gamesStarted,home.shotsAgainst,home.goalsAgainst,home.powerPlaySavePercentage,home.shortHandedSavePercentage,home.evenStrengthSavePercentage,away.ot,away.shutouts,away.wins,away.losses,away.saves,away.powerPlaySaves,away.shortHandedSaves,away.evenSaves,away.shortHandedShots,away.evenShots,away.powerPlayShots,away.savePercentage,away.goalAgainstAverage,away.gamesStarted,away.shotsAgainst,away.goalsAgainst,away.powerPlaySavePercentage,away.shortHandedSavePercentage,away.evenStrengthSavePercentage,teamId,teamLoc,teamName
42,8474604,Aaron Ness,/api/v1/people/8474604,D,Defenseman,Defenseman,D,8474604,Aaron Ness,/api/v1/people/8474604,Aaron,Ness,42,1990-05-18,Roseau,MN,USA,USA,"5' 10""",184,True,False,L,N,"{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",30.0,False,False,"{'id': 53, 'name': 'Arizona Coyotes', 'link': '/api/v1/teams/53'}",101:49,1.0,0.0,8.0,2.0,8,1.0,0.0,0.0,00:00,95:00,8,0.0,0.0,0.0,0.0,0.0,0.0,06:49,8.0,2.0,1.0,155.0,12:43,11:52,00:51,00:00,8474604,,,,,,,,,,,,,,,,,,,,,8474604,22:43,1.0,0.0,0.0,0.0,2,0.0,0.0,0.0,00:00,20:13,0,,0.0,0.0,0.0,0.0,02:30,2.0,2.0,1.0,34.0,11:21,10:06,01:15,00:00,79:06,0.0,0.0,8.0,2.0,6,1.0,0.0,0.0,00:00,74:47,8,0.0,0.0,0.0,0.0,0.0,04:19,6.0,0.0,0.0,121.0,13:11,12:27,00:43,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
39,8475163,Alex Chiasson,/api/v1/people/8475163,R,Right Wing,Forward,RW,8475163,Alex Chiasson,/api/v1/people/8475163,Alex,Chiasson,39,1990-10-01,Montreal,QC,CAN,CAN,"6' 4""",208,True,False,R,Y,"{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}",30.0,False,False,"{'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}",717:42,9.0,9.0,26.0,59.0,61,57.0,1.0,1.0,37:34,578:36,26,26.82,15.25,2.0,0.0,1.0,3.0,101:32,29.0,1.0,18.0,959.0,11:45,09:29,01:39,00:36,8475163,,,,,,,,,,,,,,,,,,,,,8475163,347:33,4.0,4.0,18.0,30.0,30,20.0,1.0,1.0,25:12,278:04,18,0.0,1.0,0.0,0.0,0.0,44:17,21.0,7.0,8.0,456.0,11:35,09:16,01:28,00:50,370:09,5.0,5.0,8.0,29.0,31,37.0,0.0,0.0,12:22,300:32,8,0.0,1.0,0.0,1.0,3.0,57:15,8.0,-6.0,10.0,503.0,11:56,09:41,01:50,00:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
9,8475200,Dmitry Orlov,/api/v1/people/8475200,D,Defenseman,Defenseman,D,8475200,Dmitry Orlov,/api/v1/people/8475200,Dmitry,Orlov,9,1991-07-23,Novokuznetsk,,RUS,RUS,"5' 11""",211,True,False,L,Y,"{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",29.0,False,False,"{'id': 15, 'name': 'Washington Capitals', 'link': '/api/v1/teams/15'}",1896:34,21.0,10.0,22.0,125.0,82,128.0,0.0,4.0,95:10,1639:04,22,0.0,8.0,2.0,0.0,0.0,0.0,162:20,116.0,10.0,31.0,2093.0,23:07,19:59,01:58,01:09,8475200,,,,,,,,,,,,,,,,,,,,,8475200,943:59,13.0,3.0,8.0,57.0,41,64.0,0.0,3.0,48:19,824:02,8,0.0,1.0,0.0,0.0,0.0,71:38,58.0,5.0,16.0,1022.0,23:01,20:05,01:44,01:10,952:35,8.0,7.0,14.0,68.0,41,64.0,0.0,1.0,46:51,815:02,14,0.0,1.0,0.0,0.0,0.0,90:42,58.0,5.0,15.0,1071.0,23:14,19:52,02:12,01:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
92,8475744,Evgeny Kuznetsov,/api/v1/people/8475744,C,Center,Forward,C,8475744,Evgeny Kuznetsov,/api/v1/people/8475744,Evgeny,Kuznetsov,92,1992-05-19,Chelyabinsk,,RUS,RUS,"6' 1""",205,True,False,L,Y,"{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}",28.0,False,False,"{'id': 15, 'name': 'Washington Capitals', 'link': '/api/v1/teams/15'}",1486:08,56.0,27.0,48.0,187.0,79,50.0,7.0,30.0,272:34,1208:59,48,44.2,14.44,8.0,2.0,1.0,1.0,04:35,26.0,3.0,83.0,1600.0,18:48,15:18,00:03,03:27,8475744,,,,,,,,,,,,,,,,,,,,,8475744,768:19,31.0,17.0,24.0,100.0,40,20.0,4.0,18.0,145:22,620:47,24,0.0,5.0,2.0,0.0,0.0,02:10,15.0,-1.0,48.0,810.0,19:12,15:31,00:03,03:38,717:49,25.0,10.0,24.0,87.0,39,30.0,3.0,12.0,127:12,588:12,24,0.0,3.0,0.0,1.0,1.0,02:25,11.0,4.0,35.0,790.0,18:24,15:04,00:03,03:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
25,8475758,Devante Smith-Pelly,/api/v1/people/8475758,R,Right Wing,Forward,RW,8475758,Devante Smith-Pelly,/api/v1/people/8475758,Devante,Smith-Pelly,25,1992-06-14,Scarborough,ON,CAN,CAN,"6' 0""",223,False,False,R,N,"{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}",,,,,926:10,9.0,7.0,38.0,103.0,75,151.0,0.0,0.0,02:11,851:07,38,48.48,6.8,1.0,0.0,0.0,0.0,72:52,62.0,-6.0,16.0,1157.0,12:20,11:20,00:58,00:01,8475758,,,,,,,,,,,,,,,,,,,,,8475758,485:05,7.0,5.0,23.0,54.0,40,84.0,0.0,0.0,00:57,447:12,23,0.0,1.0,0.0,0.0,0.0,36:56,40.0,4.0,12.0,602.0,12:07,11:10,00:55,00:01,441:05,2.0,2.0,15.0,49.0,35,67.0,0.0,0.0,01:14,403:55,15,0.0,0.0,0.0,0.0,0.0,35:56,22.0,-10.0,4.0,555.0,12:36,11:32,01:01,00:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
10,8475792,Brett Connolly,/api/v1/people/8475792,R,Right Wing,Forward,RW,8475792,Brett Connolly,/api/v1/people/8475792,Brett,Connolly,10,1992-05-02,Campbell River,BC,CAN,CAN,"6' 3""",198,True,False,R,Y,"{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}",28.0,False,False,"{'id': 13, 'name': 'Florida Panthers', 'link': '/api/v1/teams/13'}",840:12,12.0,15.0,30.0,67.0,70,72.0,4.0,5.0,100:42,738:28,30,45.16,22.39,2.0,0.0,0.0,0.0,01:02,24.0,-6.0,27.0,1053.0,12:00,10:32,00:00,01:26,8475792,,,,,,,,,,,,,,,,,,,,,8475792,418:54,4.0,7.0,10.0,38.0,35,38.0,3.0,4.0,49:01,369:16,10,0.0,1.0,0.0,0.0,0.0,00:37,10.0,2.0,11.0,521.0,11:58,10:33,00:01,01:24,421:18,8.0,8.0,20.0,29.0,35,34.0,1.0,1.0,51:41,369:12,20,0.0,1.0,0.0,0.0,0.0,00:25,14.0,-8.0,16.0,532.0,12:02,10:32,00:00,01:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
72,8476329,Travis Boyd,/api/v1/people/8476329,C,Center,Forward,C,8476329,Travis Boyd,/api/v1/people/8476329,Travis,Boyd,72,1993-09-14,Hopkins,MN,USA,USA,"6' 0""",190,True,False,R,Y,"{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}",27.0,False,False,"{'id': 10, 'name': 'Toronto Maple Leafs', 'link': '/api/v1/teams/10'}",70:36,1.0,0.0,2.0,2.0,8,2.0,0.0,0.0,00:05,70:31,2,50.0,0.0,0.0,0.0,0.0,0.0,00:00,1.0,2.0,1.0,100.0,08:49,08:48,00:00,00:00,8476329,,,,,,,,,,,,,,,,,,,,,8476329,44:39,0.0,0.0,0.0,2.0,5,2.0,0.0,0.0,00:05,44:34,0,0.0,0.0,0.0,0.0,0.0,00:00,1.0,1.0,0.0,60.0,08:55,08:54,00:00,00:01,25:57,1.0,0.0,2.0,0.0,3,0.0,0.0,0.0,00:00,25:57,2,,0.0,0.0,0.0,0.0,00:00,0.0,1.0,1.0,40.0,08:39,08:39,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
44,8476344,Tyler Graovac,/api/v1/people/8476344,C,Center,Forward,C,8476344,Tyler Graovac,/api/v1/people/8476344,Tyler,Graovac,44,1993-04-27,Brampton,ON,CAN,CAN,"6' 5""",208,True,False,L,N,"{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}",27.0,False,False,"{'id': 23, 'name': 'Vancouver Canucks', 'link': '/api/v1/teams/23'}",33:42,0.0,0.0,2.0,1.0,5,5.0,0.0,0.0,00:09,32:59,2,33.33,0.0,0.0,0.0,0.0,0.0,00:34,1.0,-3.0,0.0,53.0,06:44,06:35,00:06,00:01,8476344,,,,,,,,,,,,,,,,,,,,,8476344,17:56,0.0,0.0,0.0,0.0,3,2.0,0.0,0.0,00:00,17:22,0,,0.0,0.0,0.0,0.0,00:34,0.0,-1.0,0.0,29.0,05:58,05:47,00:11,00:00,15:46,0.0,0.0,2.0,1.0,2,3.0,0.0,0.0,00:09,15:37,2,0.0,0.0,0.0,0.0,0.0,00:00,1.0,-2.0,0.0,24.0,07:53,07:48,00:00,00:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
43,8476880,Tom Wilson,/api/v1/people/8476880,R,Right Wing,Forward,RW,8476880,Tom Wilson,/api/v1/people/8476880,Tom,Wilson,43,1994-03-29,Toronto,ON,CAN,CAN,"6' 4""",220,True,False,R,Y,"{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}",26.0,False,False,"{'id': 15, 'name': 'Washington Capitals', 'link': '/api/v1/teams/15'}",1247:08,21.0,14.0,187.0,123.0,78,250.0,0.0,1.0,05:24,1107:01,187,46.29,11.38,1.0,0.0,1.0,1.0,134:43,51.0,10.0,35.0,1567.0,15:59,14:11,01:43,00:04,8476880,,,,,,,,,,,,,,,,,,,,,8476880,635:32,13.0,5.0,63.0,69.0,39,136.0,0.0,1.0,03:32,567:09,63,0.0,0.0,0.0,1.0,1.0,64:51,28.0,5.0,18.0,794.0,16:17,14:32,01:39,00:05,611:36,8.0,9.0,124.0,54.0,39,114.0,0.0,0.0,01:52,539:52,124,0.0,1.0,0.0,0.0,0.0,69:52,23.0,5.0,17.0,773.0,15:40,13:50,01:47,00:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
20,8476905,Chandler Stephenson,/api/v1/people/8476905,C,Center,Forward,C,8476905,Chandler Stephenson,/api/v1/people/8476905,Chandler,Stephenson,20,1994-04-22,Saskatoon,SK,CAN,CAN,"6' 0""",199,True,False,L,Y,"{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}",26.0,False,False,"{'id': 54, 'name': 'Vegas Golden Knights', 'link': '/api/v1/teams/54'}",795:13,12.0,6.0,8.0,36.0,67,26.0,0.0,0.0,09:41,698:12,8,54.79,16.67,0.0,0.0,0.0,0.0,87:20,33.0,13.0,18.0,1081.0,11:52,10:25,01:18,00:08,8476905,,,,,,,,,,,,,,,,,,,,,8476905,387:23,8.0,4.0,2.0,18.0,33,13.0,0.0,0.0,06:04,345:01,2,0.0,0.0,0.0,0.0,0.0,36:18,20.0,10.0,12.0,528.0,11:44,10:27,01:06,00:11,407:50,4.0,2.0,6.0,18.0,34,13.0,0.0,0.0,03:37,353:11,6,0.0,0.0,0.0,0.0,0.0,51:02,13.0,3.0,6.0,553.0,11:59,10:23,01:30,00:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
44,8477043,Christian Djoos,/api/v1/people/8477043,D,Defenseman,Defenseman,D,8477043,Christian Djoos,/api/v1/people/8477043,Christian,Djoos,44,1994-08-06,Gothenburg,,SWE,SWE,"6' 0""",180,True,False,L,Y,"{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",26.0,False,False,"{'id': 17, 'name': 'Detroit Red Wings', 'link': '/api/v1/teams/17'}",884:10,11.0,3.0,10.0,60.0,63,22.0,0.0,0.0,15:06,864:53,10,0.0,5.0,0.0,0.0,0.0,0.0,04:11,55.0,13.0,14.0,1162.0,14:02,13:43,00:03,00:14,8477043,,,,,,,,,,,,,,,,,,,,,8477043,455:36,6.0,3.0,4.0,31.0,33,12.0,0.0,0.0,09:26,445:09,4,0.0,0.0,0.0,0.0,0.0,01:01,30.0,10.0,9.0,593.0,13:48,13:29,00:01,00:17,428:34,5.0,0.0,6.0,29.0,30,10.0,0.0,0.0,05:40,419:44,6,0.0,0.0,0.0,0.0,0.0,03:10,25.0,3.0,5.0,569.0,14:17,13:59,00:06,00:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
87,8477070,Liam O'Brien,/api/v1/people/8477070,C,Center,Forward,C,8477070,Liam O'Brien,/api/v1/people/8477070,Liam,O'Brien,87,1994-07-29,Halifax,NS,CAN,CAN,"6' 1""",213,False,False,L,N,"{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}",,,,,20:45,0.0,0.0,5.0,1.0,3,4.0,0.0,0.0,00:00,20:45,5,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,0.0,0.0,30.0,06:55,06:55,00:00,00:00,8477070,,,,,,,,,,,,,,,,,,,,,8477070,10:34,0.0,0.0,5.0,0.0,2,1.0,0.0,0.0,00:00,10:34,5,,0.0,0.0,0.0,0.0,00:00,0.0,0.0,0.0,17.0,05:17,05:17,00:00,00:00,10:11,0.0,0.0,0.0,1.0,1,3.0,0.0,0.0,00:00,10:11,0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,0.0,0.0,13.0,10:11,10:11,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
95,8477444,Andre Burakovsky,/api/v1/people/8477444,L,Left Wing,Forward,LW,8477444,Andre Burakovsky,/api/v1/people/8477444,Andre,Burakovsky,95,1995-02-09,Klagenfurt,,AUT,SWE,"6' 3""",201,True,False,L,Y,"{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}",26.0,False,False,"{'id': 21, 'name': 'Colorado Avalanche', 'link': '/api/v1/teams/21'}",774:57,13.0,12.0,27.0,84.0,56,40.0,2.0,4.0,67:01,707:56,27,54.54,14.29,5.0,1.0,0.0,0.0,00:00,26.0,3.0,25.0,931.0,13:50,12:38,00:00,01:11,8477444,,,,,,,,,,,,,,,,,,,,,8477444,366:09,3.0,4.0,8.0,36.0,26,20.0,1.0,1.0,30:27,335:42,8,0.0,1.0,0.0,0.0,0.0,00:00,15.0,1.0,7.0,431.0,14:04,12:54,00:00,01:10,408:48,10.0,8.0,19.0,48.0,30,20.0,1.0,3.0,36:34,372:14,19,0.0,4.0,1.0,0.0,0.0,00:00,11.0,2.0,18.0,500.0,13:37,12:24,00:00,01:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
29,8477474,Madison Bowey,/api/v1/people/8477474,D,Defenseman,Defenseman,D,8477474,Madison Bowey,/api/v1/people/8477474,Madison,Bowey,29,1995-04-22,Winnipeg,MB,CAN,CAN,"6' 2""",202,True,False,R,Y,"{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",25.0,False,False,"{'id': 16, 'name': 'Chicago Blackhawks', 'link': '/api/v1/teams/16'}",699:23,12.0,0.0,24.0,47.0,51,48.0,0.0,0.0,00:56,683:51,24,0.0,0.0,0.0,0.0,0.0,0.0,14:36,42.0,-3.0,12.0,862.0,13:42,13:24,00:17,00:01,8477474,,,,,,,,,,,,,,,,,,,,,8477474,368:52,8.0,0.0,14.0,22.0,28,26.0,0.0,0.0,00:00,364:41,14,0.0,0.0,0.0,0.0,0.0,04:11,28.0,-1.0,8.0,451.0,13:10,13:01,00:08,00:00,330:31,4.0,0.0,10.0,25.0,23,22.0,0.0,0.0,00:56,319:10,10,0.0,0.0,0.0,0.0,0.0,10:25,14.0,-2.0,4.0,411.0,14:22,13:52,00:27,00:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
26,8477573,Nathan Walker,/api/v1/people/8477573,L,Left Wing,Forward,LW,8477573,Nathan Walker,/api/v1/people/8477573,Nathan,Walker,26,1994-02-07,Cardiff,,GBR,AUS,"5' 9""",186,True,False,L,N,"{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}",27.0,False,False,"{'id': 19, 'name': 'St. Louis Blues', 'link': '/api/v1/teams/19'}",85:01,0.0,1.0,6.0,6.0,9,18.0,0.0,0.0,01:14,80:55,6,0.0,16.67,0.0,0.0,0.0,0.0,02:52,1.0,0.0,1.0,120.0,09:26,08:59,00:19,00:08,8477573,,,,,,,,,,,,,,,,,,,,,8477573,37:43,0.0,1.0,4.0,4.0,4,5.0,0.0,0.0,00:29,36:16,4,0.0,0.0,0.0,0.0,0.0,00:58,0.0,2.0,1.0,53.0,09:25,09:04,00:14,00:07,47:18,0.0,0.0,2.0,2.0,5,13.0,0.0,0.0,00:45,44:39,2,0.0,0.0,0.0,0.0,0.0,01:54,1.0,-2.0,0.0,67.0,09:27,08:55,00:22,00:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
13,8477944,Jakub Vrana,/api/v1/people/8477944,L,Left Wing,Forward,LW,8477944,Jakub Vrana,/api/v1/people/8477944,Jakub,Vrana,13,1996-02-28,Prague,,CZE,CZE,"6' 0""",197,True,False,L,Y,"{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}",24.0,False,False,"{'id': 15, 'name': 'Washington Capitals', 'link': '/api/v1/teams/15'}",912:24,14.0,13.0,12.0,133.0,73,31.0,1.0,3.0,48:54,863:14,12,52.0,9.77,2.0,0.0,0.0,0.0,00:16,16.0,2.0,27.0,1140.0,12:29,11:49,00:00,00:40,8477944,,,,,,,,,,,,,,,,,,,,,8477944,469:47,6.0,7.0,2.0,77.0,37,10.0,1.0,2.0,27:24,442:23,2,0.0,0.0,0.0,0.0,0.0,00:00,8.0,6.0,13.0,576.0,12:41,11:57,00:00,00:44,442:37,8.0,6.0,10.0,56.0,36,21.0,0.0,1.0,21:30,420:51,10,0.0,2.0,0.0,0.0,0.0,00:16,8.0,-4.0,14.0,564.0,12:17,11:41,00:00,00:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
63,8478063,Shane Gersich,/api/v1/people/8478063,L,Left Wing,Forward,LW,8478063,Shane Gersich,/api/v1/people/8478063,Shane,Gersich,63,1996-07-10,Chaska,MN,USA,USA,"5' 11""",180,True,True,L,N,"{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}",24.0,False,False,"{'id': 15, 'name': 'Washington Capitals', 'link': '/api/v1/teams/15'}",27:03,1.0,0.0,0.0,4.0,3,0.0,0.0,0.0,00:00,27:03,0,0.0,0.0,0.0,0.0,0.0,0.0,00:00,2.0,-1.0,1.0,37.0,09:01,09:01,00:00,00:00,8478063,,,,,,,,,,,,,,,,,,,,,8478063,17:00,1.0,0.0,0.0,3.0,2,0.0,0.0,0.0,00:00,17:00,0,0.0,0.0,0.0,0.0,0.0,00:00,2.0,-1.0,1.0,23.0,08:30,08:30,00:00,00:00,10:03,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,00:00,10:03,0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,0.0,0.0,14.0,10:03,10:03,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
6,8479482,Michal Kempny,/api/v1/people/8479482,D,Defenseman,Defenseman,D,8479482,Michal Kempny,/api/v1/people/8479482,Michal,Kempny,6,1990-09-08,Hodonin,,CZE,CZE,"6' 1""",195,True,False,L,Y,"{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",30.0,False,False,"{'id': 15, 'name': 'Washington Capitals', 'link': '/api/v1/teams/15'}",843:23,7.0,3.0,26.0,82.0,53,57.0,0.0,0.0,04:15,802:35,26,0.0,3.66,0.0,0.0,0.0,0.0,36:33,82.0,14.0,10.0,1076.0,15:54,15:08,00:41,00:04,8479482,,,,,,,,,,,,,,,,,,,,,8479482,414:17,4.0,2.0,12.0,40.0,27,28.0,0.0,0.0,02:39,396:48,12,0.0,0.0,0.0,0.0,0.0,14:50,45.0,8.0,6.0,531.0,15:20,14:41,00:32,00:05,429:06,3.0,1.0,14.0,42.0,26,29.0,0.0,0.0,01:36,405:47,14,0.0,0.0,0.0,0.0,0.0,21:43,37.0,6.0,4.0,545.0,16:30,15:36,00:50,00:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
28,8480143,Jakub Jerabek,/api/v1/people/8480143,D,Defenseman,Defenseman,D,8480143,Jakub Jerabek,/api/v1/people/8480143,Jakub,Jerabek,28,1991-05-12,Pilsen,,CZE,CZE,"5' 11""",199,False,False,L,N,"{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",,,,,587:33,6.0,2.0,6.0,33.0,36,42.0,0.0,0.0,02:59,575:36,6,0.0,6.06,0.0,0.0,0.0,0.0,08:58,48.0,-2.0,8.0,774.0,16:19,15:59,00:14,00:04,8480143,,,,,,,,,,,,,,,,,,,,,8480143,267:08,2.0,0.0,4.0,15.0,16,20.0,0.0,0.0,01:13,262:53,4,0.0,0.0,0.0,0.0,0.0,03:02,24.0,-6.0,2.0,359.0,16:41,16:25,00:11,00:04,320:25,4.0,2.0,2.0,18.0,20,22.0,0.0,0.0,01:46,312:43,2,0.0,0.0,0.0,0.0,0.0,05:56,24.0,4.0,6.0,415.0,16:01,15:38,00:17,00:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
49,8474651,Braden Holtby,/api/v1/people/8474651,G,Goalie,Goalie,G,8474651,Braden Holtby,/api/v1/people/8474651,Braden,Holtby,49,1989-09-16,Lloydminster,SK,CAN,CAN,"6' 2""",214,True,False,L,Y,"{'code': 'G', 'name': 'Goalie', 'type': 'Goalie', 'abbreviation': 'G'}",31.0,False,False,"{'id': 23, 'name': 'Vancouver Canucks', 'link': '/api/v1/teams/23'}",3067:48,,,,,54,,,,,,,,,,,,,,,,,,56:48,,,,8474651,4.0,0.0,0.0,34.0,16.0,1495.0,230.0,35.0,1230.0,40.0,1345.0,263.0,0.90716,2.992372,54.0,1648.0,153.0,87.45247148288973,87.5,91.44981412639405,8474651,1867:55,,,,,31,,,,,,,,,,,,,,,,,60:15,,,,1199:53,,,,,23,,,,,,,,,,,,,,,,,52:10,,,,2.0,0.0,22.0,7.0,872.0,121.0,26.0,725.0,29.0,781.0,137.0,0.9208025343189018,2.409101048405086,31.0,947.0,75.0,88.32116788321169,89.65517241379311,92.82970550576184,2.0,0.0,12.0,9.0,623.0,109.0,9.0,505.0,11.0,564.0,126.0,0.8887303851640513,3.9003792035336766,23.0,701.0,78.0,86.5079365079365,81.81818181818183,89.53900709219859,15,Washington,Capitals
31,8475831,Philipp Grubauer,/api/v1/people/8475831,G,Goalie,Goalie,G,8475831,Philipp Grubauer,/api/v1/people/8475831,Philipp,Grubauer,31,1991-11-25,Rosenheim,,DEU,DEU,"6' 1""",188,True,False,L,Y,"{'code': 'G', 'name': 'Goalie', 'type': 'Goalie', 'abbreviation': 'G'}",29.0,False,False,"{'id': 21, 'name': 'Colorado Avalanche', 'link': '/api/v1/teams/21'}",1864:48,,,,,35,,,,,,,,,,,,,,,,,,53:16,,,,8475831,3.0,3.0,0.0,15.0,10.0,880.0,135.0,21.0,724.0,22.0,776.0,155.0,0.9234,2.348777,28.0,953.0,73.0,87.09677419354838,95.45454545454545,93.29896907216495,8475831,595:21,,,,,10,,,,,,,,,,,,,,,,,59:32,,,,1269:27,,,,,25,,,,,,,,,,,,,,,,,50:46,,,,,0.0,6.0,4.0,262.0,38.0,6.0,218.0,6.0,230.0,47.0,0.9257950530035336,2.1164021164021163,10.0,283.0,21.0,80.85106382978722,100.0,94.78260869565217,3.0,3.0,9.0,6.0,618.0,97.0,15.0,506.0,16.0,546.0,108.0,0.9223880597014925,2.457757296466974,18.0,670.0,52.0,89.81481481481481,93.75,92.67399267399267,15,Washington,Capitals
